123092009  070000000000 NNNNNNNNNNNNNNNNNNNNDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD  01  02                      92  92 907      07   12 dias000000000000000000000000000000000000000000000000000000000000000001664.00000001664.00    10035723092009 NO PRESENTA         NO PRESENTA
50001            XOCLF031000000001.00                                                             0000128.0000
50002            XOCLF055000000001.00                                                             0000128.0000
50003            XOCLF011000000001.00                                                             0000128.0000
50004            XOCLF032000000001.00                                                             0000160.0000
50005            XOCLF056000000001.00                                                             0000160.0000
50006            XOCLF057000000001.00                                                             0000160.0000
50007            XOCLF058000000001.00                                                             0000200.0000
50008            XOCLF059000000001.00                                                             0000200.0000
50009            XOCLF060000000001.00                                                             0000200.0000
50010            XOCLF061000000001.00                                                             0000200.0000
